session_id,item,idea_id,idea,condition,originality
7,pants,2,**A musical instrument:** Stretch and bend a pair of pants to create a unique musical instrument that can produce different sounds.,idea1,3.4
7,pants,3,**A parachute:** Turn a pair of pants into a parachute by attaching a cord or rope to the waistband and letting the wind carry you.,idea1,4.2
7,pants,4,**A water reservoir:** Fill a pair of pants with water and use them as a portable water reservoir.,idea1,4.5
8,pants,0,**A portable hammock:** Turn a pair of loose-fitting pants into a lightweight hammock for relaxing on the go.,idea1,3.8
8,pants,1,**A makeshift water reservoir:** Fill a pair of pants with water and wear them as a portable water source.,idea1,4.5
8,pants,2,**A musical instrument:** Convert a pair of pants into a bass drum by attaching drumsticks to the legs and playing them with your feet.,idea1,4.8
8,pants,3,"**A makeshift shelter:** Construct a shelter out of a pair of pants and other materials, like cardboard and blankets.",idea1,4.2
8,pants,4,**A portable garden:** Plant flowers or herbs in a pair of pants and use them as a portable garden.,idea1,4.5
9,pants,0,**Sling Shot Pants:** Convert pants into a sling shot device by attaching a pouch to the legs and a string to the pouch. Fill the pouch with small objects and launch them with the string.,idea1,4.2
9,pants,1,**Musical Pants:** Attach bells or other musical instruments to your pants to create a percussion instrument. You can use this to accompany your dancing or singing.,idea1,3.4
9,pants,2,**Tweedle Pants:** Turn pants into a makeshift shield by attaching Velcro or other fasteners to the legs and attaching a piece of fabric or other material to the fasteners.,idea1,4.2
9,pants,3,**Pocket Rocket:** Create a portable rocket engine by attaching small rockets to the pockets of your pants. You can use this to propel yourself forward.,idea1,4.8
9,pants,4,**Pants as a Mask:** Cut holes in the legs of your pants and wear them as a mask. You can use this to disguise yourself or to create a unique fashion statement.,idea1,3.2
0,shoe,0,**Portable Mini Greenhouse:** Shoe-shaped greenhouse to cultivate miniature plants and herbs.,idea1,4.8
0,shoe,1,"**Interactive Shoe Display:** Shoe rack that illuminates different shoe compartments based on the user's footsteps, creating a dynamic visual display.",idea1,4.2
0,shoe,2,"**Musical Footwear:** Vibraphone shoes that produce sounds based on the wearer's movement, creating a musical accompaniment.",idea1,4.2
0,shoe,3,**Shoe-Mounted Water Reservoir:** Portable water reservoir attached to shoes for hydration on the go.,idea1,4.3
0,shoe,4,"**Interactive Shoe Painting:** Shoe canvases that connect to a mobile app, allowing users to paint designs on their shoes in real-time.",idea1,3.6
1,shoe,0,**High-Heeled Shoe Catapult:** A platform shoe with a spring-loaded heel that propels the wearer forward like a catapult.,idea1,4.8
1,shoe,1,"**Interactive Shoe Display:** A holographic display integrated into the shoe that showcases personalized information, such as the wearer's favorite music or a map of their current location.",idea1,4.2
1,shoe,2,"**Musical Shoe:** A shoe that incorporates musical instruments, such as bells or xylophone keys, to create unique sounds when worn.",idea1,3.4
1,shoe,3,"**Swarm Shoe:** A shoe that attracts a swarm of tiny, harmless creatures, creating a mesmerizing visual effect.",idea1,4.2
1,shoe,4,"**Flip-Flop Hopping Pad:** A platform flip-flop designed to be used on trampolines, offering extra bounce and stability.",idea1,3.4
2,shoe,0,Shoe as a musical instrument,idea1,3.8
2,shoe,1,Shoe as a weapon,idea1,3.0
2,shoe,2,Shoe as a tool for navigation,idea1,3.0
2,shoe,3,Shoe as a storage container,idea1,3.2
2,shoe,4,Shoe as a portable shelter,idea1,3.8
2,shoe,5,Shoe as a musical instrument:**,idea1,3.4
2,shoe,6,Shoe as a weapon:**,idea1,3.0
2,shoe,7,Shoe as a tool for navigation:**,idea1,3.0
2,shoe,8,Shoe as a storage container:**,idea1,3.2
2,shoe,9,Shoe as a portable shelter:**,idea1,4.8
3,shoe,0,**Interactive Shoe Display:** A shoe display that utilizes holographic projections to showcase virtual shoe designs and animations.,idea1,4.2
3,shoe,1,**Musical Shoe:** Shoe equipped with sensors and actuators to produce music based on the wearer's movement and rhythm.,idea1,4.3
3,shoe,2,**Shoe-Mounted Mini Drone:** A shoe that integrates a miniature drone for aerial photography and navigation.,idea1,4.8
3,shoe,3,**Swarm Shoe:** A shoe that releases swarms of tiny drones to create intricate patterns and formations.,idea1,4.8
3,shoe,4,**Shoe-Integrated Gaming Controller:** A shoe that integrates with a controller to enable intuitive and immersive gaming experiences.,idea1,4.3
4,shoe,0,**High-Heeled Rocket Launcher:** A pair of high-heeled shoes that can launch miniature rockets.,idea1,4.8
4,shoe,1,**Slingback Catapult:** A slingback shoe that can launch small objects.,idea1,4.2
4,shoe,2,"**Interactive Shoe:** A shoe that can interact with other objects and surfaces, such as displaying information or changing colors.",idea1,3.6
4,shoe,3,**Musical Shoe:** A shoe that can play music.,idea1,3.4
4,shoe,4,**Shoe-Mounted Vacuum Cleaner:** A shoe that has a vacuum cleaner attachment to clean floors.,idea1,3.6
5,shoe,0,Shoe as a musical instrument,idea1,3.8
5,shoe,1,Shoe as a storage container,idea1,3.2
5,shoe,2,Shoe as a weapon,idea1,3.0
5,shoe,3,Shoe as a portable shelter,idea1,3.8
5,shoe,4,Shoe as a prop for a play,idea1,2.8
6,shoe,0,"**Shoe-Mounted Bubble Wrap Dispenser:** Imagine shoes that have built-in compartments filled with bubble wrap. By squeezing the shoes, the bubble wrap pops out, creating instant cushioning for any surface.",idea1,4.3
6,shoe,1,"**Interactive Shoe Display:** Interactive shoe displays that showcase personalized information about each pair. Users can interact with the display through touchscreens to learn about size, material, color, and even purchase the shoes.",idea1,3.4
6,shoe,2,**Slingback Shoe with Built-in GPS:** A slingback shoe with a built-in GPS tracker that helps users find their way back to their parked car.,idea1,3.8
6,shoe,3,"**Musical Shoe:** Shoes that incorporate musical instruments into their design. They could include embedded drums, bells, or even a mini harmonica to create music while walking.",idea1,3.4
6,shoe,4,"**Shoe-Mounted Projector:** Shoes that have a projector attached to them, allowing users to project images onto any surface.",idea1,4.2
7,shoe,0,"**High-Heeled Hockey Pucks:** Blades made of sharpened high heels, allowing for gliding and stopping on ice.",idea1,3.8
7,shoe,1,**Musical Shoe Horns:** Horns attached to shoes that produce different sounds based on the wearer's movement.,idea1,3.8
7,shoe,2,**Interactive Shoe Lights:** Lights embedded in shoes that synchronize with music or the wearer's rhythm.,idea1,3.8
7,shoe,3,**Self-Cleaning Shoes:** Shoes equipped with miniature vacuum cleaners to keep dust away.,idea1,3.6
7,shoe,4,"**Heels that Transform:** Platforms that can be adjusted to different heights, offering various heights in one shoe.",idea1,3.4
8,shoe,0,"**Interactive Shoe Display:** A holographic display integrated into the shoe, showcasing personalized messages, maps, or even short videos.",idea1,4.2
8,shoe,1,"**Musical Footwear:** Shoes equipped with sensors that translate movement into music, creating a unique musical experience while walking.",idea1,3.8
8,shoe,2,"**Switchable Platform:** Platforms attached to the soles of shoes that can be switched between different heights, offering customizable height adjustments.",idea1,3.4
8,shoe,3,**Solar-Powered Charging:** Shoe soles integrated with solar panels to charge electronic devices on the go.,idea1,4.2
8,shoe,4,"**Interactive Shoe Game:** A game controller embedded in the shoe that interacts with a virtual reality game, creating an immersive gaming experience.",idea1,4.2
9,shoe,0,"**Shoe-phone:** A shoe that incorporates a miniature phone into its design, allowing you to answer calls hands-free while walking. The shoe would have a built-in speaker and microphone, and the caller ID would be displayed on the shoe's interface.",idea1,3.4
9,shoe,1,"**Shoe-mounted espresso maker:** A shoe that integrates a small espresso maker into its design, allowing you to brew coffee on the go. The shoe would have a built-in grinder, tamp, and espresso portafilter, and the coffee would be brewed directly into the shoe's cup.",idea1,4.2
9,shoe,2,"**Interactive shoe:** A shoe that interacts with its wearer, providing information, entertainment, and navigation. The shoe would have sensors to track the wearer's movement and location, and the shoe's interface would display information such as directions, music, and trivia.",idea1,3.2
9,shoe,3,"**Shoe-activated alarm:** A shoe that activates an alarm when it is stolen or when the wearer is in danger. The shoe would have a GPS tracker and an accelerometer, and the alarm would sound if the shoe was removed from the wearer's foot or if the wearer experienced sudden movement or trauma.",idea1,3.8
9,shoe,4,"**Shoe-mounted water fountain:** A shoe that incorporates a small water fountain into its design, allowing you to hydrate on the go. The shoe would have a reservoir and a pump, and the water would flow from the fountain into the shoe's mouth.",idea1,4.3
0,table,0,"**Tabletop Aquarium:** A transparent table with a built-in aquarium, where miniature marine creatures swim around.",idea1,3.8
0,table,1,"**Musical Table:** A table that incorporates musical instruments into its design, allowing for impromptu jam sessions.",idea1,3.8
0,table,2,**Holographic Table:** A table with holographic projections that create illusions and interactive experiences.,idea1,3.8
0,table,3,"**Interactive Table:** A table with integrated touchscreens and sensors, allowing for games, presentations, and collaborative work.",idea1,3.8
0,table,4,"**Tabletop Observatory:** A table with a star map projection and telescope, for stargazing from the comfort of your home.",idea1,3.8
1,table,0,A table that can fold in half and be used as a portable desk.,idea1,2.0
1,table,1,A table that can be used to store books.,idea1,1.5
1,table,2,A table that can be used to display flowers.,idea1,2.0
1,table,3,A table that can be used to serve food.,idea1,1.0
1,table,4,A table that can be used to play games.,idea1,1.8
2,table,0,**A table that can fold in half like a letter.**,idea1,2.8
2,table,1,**A table that can be used as a musical instrument.**,idea1,3.2
2,table,2,**A table that can be used to store seeds.**,idea1,2.0
2,table,3,**A table that can be used to display photographs.**,idea1,2.0
2,table,4,**A table that can be used to grow plants.**,idea1,3.0
2,table,5,Foldable Table:**,idea1,2.8
2,table,6,Musical Table:**,idea1,3.4
2,table,7,Seed Storage Table:**,idea1,3.4
2,table,8,Photograph Display Table:**,idea1,2.8
2,table,9,Plant-Growing Table:**,idea1,3.0
3,table,0,"**Musical Table:** A table that vibrates to the rhythm of music, creating a tactile dancing experience.",idea1,3.2
3,table,1,**Interactive Dining Table:** A holographic table where food appears to float and interact with diners.,idea1,4.2
3,table,2,"**Tabletop Aquarium:** A transparent table with an integrated aquarium, allowing you to enjoy fish while you eat.",idea1,3.2
3,table,3,**Board Game Table:** A table that incorporates augmented reality to enhance board game play.,idea1,3.8
3,table,4,"**Holographic Tabletop Theatre:** A table that projects holographic images, creating a virtual reality movie experience.",idea1,3.8
4,table,0,**A mobile chessboard:** A foldable table that unfolds and transforms into a chessboard.,idea1,3.0
4,table,1,**A holographic table:** A transparent table that projects holographic images onto its surface.,idea1,3.8
4,table,2,**A musical instrument:** A table that can generate different sounds depending on the pressure applied to its surface.,idea1,3.6
4,table,3,**A mobile bar:** A portable table that can be filled with drinks and served to guests.,idea1,2.5
4,table,4,**A kinetic sculpture:** A table that moves and changes shape dynamically through the force of gravity.,idea1,4.2
5,table,0,**Interactive Tabletop Gaming Platform:** A table with embedded sensors and holographic projection technology that allows players to interact with the tabletop game world through hand gestures and voice commands.,idea1,4.0
5,table,1,**Musical Table:** A table that generates music based on the vibrations caused by placing objects on its surface.,idea1,3.8
5,table,2,**Interactive Learning Table:** A table with integrated educational materials and sensors that provide interactive learning experiences through augmented reality and voice control.,idea1,3.9
5,table,3,"**Sensory Table:** A table designed to engage the senses, such as textured surfaces, aromatherapy scents, and tactile feedback.",idea1,3.0
5,table,4,"**Tabletop Theater:** A table that transforms into a stage for small-scale theatrical performances, complete with lighting, props, and costumes.",idea1,3.8
6,table,0,A table that can fold in half and be used as a portable chessboard.,idea1,3.0
6,table,1,A table that can be divided into sections and used to organize a collection of books.,idea1,2.2
6,table,2,A table that can be used as a platform for a hydroponics garden.,idea1,3.0
6,table,3,A table that can be covered with a chalkboard and used as a whiteboard.,idea1,3.0
6,table,4,A table that can be used to display photographs and artwork.,idea1,1.8
6,table,5,Interactive Dinner Table:**,idea1,3.2
6,table,6,Musical Table:**,idea1,3.4
6,table,7,Sensory Table:**,idea1,2.8
6,table,8,Interactive Gaming Table:**,idea1,3.2
6,table,9,Tabletop Time Capsule:**,idea1,3.4
7,table,0,"**Interactive Food Map:** A table adorned with miniature replicas of cities around the world, each city illuminated with colored lights to represent its temperature. Interactive buttons on the table trigger narratives about each city's culinary specialties.",idea1,3.8
7,table,1,"**Musical Instrument Stand:** A table transformed into a multi-tiered platform for displaying musical instruments, creating a visually striking arrangement and convenient staging for impromptu jam sessions.",idea1,3.0
7,table,2,"**Floating Teapot:** A table with a mirrored surface that reflects the teapot's reflection, creating an illusion of the teapot levitating above the table.",idea1,3.4
7,table,3,**Interactive Storytelling Table:** A table with embedded sensors that detect the presence of objects and trigger narratives related to the object's placement.,idea1,4.0
7,table,4,"**Holographic Table:** A table overlaid with holographic projections, creating an immersive visual experience that interacts with the physical table and its surroundings.",idea1,3.8
8,table,0,**A holographic chessboard.**,idea1,3.6
8,table,1,**A platform for growing mushrooms.**,idea1,3.0
8,table,2,**A mobile library.**,idea1,3.2
8,table,3,**A giant water fountain.**,idea1,3.0
8,table,4,**A makeshift bridge.**,idea1,3.0
9,table,0,"**Interactive Mirror Table:** A mirrored table with embedded sensors that detect movement and display interactive content like virtual art, games, or even a virtual chef guiding you through cooking.",idea1,4.2
9,table,1,"**Musical Table:** A table with embedded musical instruments that can be controlled by touch, creating a unique musical experience.",idea1,3.8
9,table,2,"**Tabletop Aquarium:** A transparent table with a built-in aquarium, allowing you to enjoy the underwater world from above.",idea1,3.8
9,table,3,"**Holographic Table:** A holographic table that projects illusions and virtual objects, creating a futuristic and interactive dining experience.",idea1,3.8
9,table,4,"**Tabletop Gaming Arena:** A table with integrated gaming controls and a large screen, transforming it into a console for competitive gaming.",idea1,3.8
0,bottle,0,"**Mini Aquarium:** Convert a bottle into a miniature underwater world with pebbles, sand, and tiny aquatic creatures.",idea1,3.4
0,bottle,1,"**Musical Instrument:** Craft a unique musical instrument from a bottle, such as a bottle harp or a bottle xylophone.",idea1,3.2
0,bottle,2,"**Planter:** Turn a bottle into a planter for herbs or flowers, adding a splash of color to your space.",idea1,2.2
0,bottle,3,"**Bird Feeder:** Create a hanging bird feeder from a bottle, attracting feathered friends to your garden.",idea1,3.0
0,bottle,4,**Fire Extinguisher:** Fill a bottle with baking soda and use it as a makeshift fire extinguisher.,idea1,3.2
1,bottle,0,"**Mini Terrarium:** Transform a bottle into a miniature terrarium by attaching soil and planting succulents or herbs. Decorate with pebbles, stones, and figurines for a whimsical touch.",idea1,3.2
1,bottle,1,**Musical Instrument:** Craft a unique musical instrument from a bottle and various found objects. Experiment with different sounds and rhythms using the bottle and its lid.,idea1,3.2
1,bottle,2,**Water Rocket:** Design a bottle-powered water rocket by attaching fins and a nozzle. Fill the bottle with water and launch it for a fun and watery adventure.,idea1,3.4
1,bottle,3,**Light Fixture:** Create a unique lamp by hollowing out a bottle and inserting a light source. Add colorful beads or jewels for a whimsical glow.,idea1,3.0
1,bottle,4,**Soap Dispenser:** Craft a soap dispenser by carving a hole in a bottle and inserting a bar of soap. Add a creative label or embellishments for a personalized touch.,idea1,2.8
2,bottle,0,"**Musical Instrument Amplifier:** A hollow glass bottle used to amplify the sound of a musical instrument, particularly a guitar.",idea1,3.4
2,bottle,1,"**Portable Terrarium:** A small bottle filled with soil and plants, used to create a miniature ecosystem.",idea1,3.4
2,bottle,2,**Stained Glass Bottle:** A bottle painted with vibrant colors to create a mosaic-like effect.,idea1,3.4
2,bottle,3,"**Mini Aquarium:** A transparent bottle filled with water and small fish, used as a portable aquarium.",idea1,3.4
2,bottle,4,"**Sling Shot:** A bottle attached to a string, used as a makeshift slingshot.",idea1,3.0
3,bottle,0,**Musical Instrument:** Turn a glass bottle into a percussion instrument by attaching small objects like pebbles or coins to its surface. Decorate the bottle with vibrant colors and patterns to create a visually stunning musical contraption.,idea1,3.4
3,bottle,1,**Stained Glass Effect:** Fill a bottle with water and add vibrant pigments or powdered dyes to create a mesmerizing stained glass effect. Display the bottle in a sunny spot to enjoy the shifting colors throughout the day.,idea1,3.4
3,bottle,2,"**Plantable Terrarium:** Sculpt a miniature landscape inside a bottle using soil, pebbles, and miniature plants. Create a unique micro-ecosystem that brings a touch of nature indoors.",idea1,3.4
3,bottle,3,"**Mini Aquarium:** Design a miniature underwater world within a bottle using pebbles, gravel, and freshwater plants. Add tiny fish or other aquatic creatures to complete the enchanting underwater scene.",idea1,3.4
3,bottle,4,"**Interactive Bottle:** Craft a bottle that interacts with light and sound. For example, you could add LEDs to illuminate the bottle in different patterns, or incorporate buttons to trigger musical sounds.",idea1,3.8
4,bottle,0,**Stained Glass Bottle:** Transform a bottle into a vibrant stained glass window by etching intricate patterns and filling the cracks with colorful molten glass.,idea1,4.5
4,bottle,1,"**Musical Instrument:** Craft a unique musical instrument from a bottle, like a bottle harp or a resonating bottle.",idea1,3.2
4,bottle,2,**Planter:** Paint a bottle with vibrant colors and fill it with soil to create a miniature planter.,idea1,2.8
4,bottle,3,**Soap Dispenser:** Fashion a soap dispenser from a bottle by attaching a pump or nozzle.,idea1,2.2
4,bottle,4,**Fire Extinguisher:** Use a bottle to store water and deploy it as a makeshift fire extinguisher.,idea1,3.2
5,bottle,0,**Soap Dispensing Bottle Rocket:** Turn a bottle into a makeshift rocket for soap dispensing. Fill the bottle with soap and attach a trigger mechanism to release the soap when the bottle reaches a certain pressure.,idea1,4.2
5,bottle,1,**Musical Bottle Orchestra:** Create a musical instrument by attaching various reeds or strings to a bottle and using it as a resonator.,idea1,3.8
5,bottle,2,"**Interactive Bottle Aquarium:** Design an aquarium inside a bottle, complete with miniature aquatic creatures and a light source for nighttime viewing.",idea1,3.4
5,bottle,3,**Portable Water Fountain:** Craft a portable water fountain by attaching a small pump to a bottle and a spout for water flow.,idea1,3.4
5,bottle,4,"**Bottle Bird Feeder:** Sculpt a bird feeder from a bottle, incorporating perches and a food reservoir.",idea1,3.4
6,bottle,0,**Musical Bottle:** Turn a bottle into a musical instrument by attaching magnets to the sides and using them to manipulate the bottle's resonance.,idea1,3.6
6,bottle,1,**Planter Bottle:** Fill a bottle with soil and plant flowers or herbs. You could even add a whimsical design to the bottle for a unique look.,idea1,3.0
6,bottle,2,**Water Fountain:** Convert a bottle into a water fountain by attaching a small pump and nozzle.,idea1,3.2
